source_pdf,page_number,accident_code,accident_name,basic_fault_ratio,modification_factors,related_cases,raw_text
과실비율인정기준,22,,,2,고 과실비율 인정기준 │ 제:2; . 기본 비율이 A:0; 량 과실비율이:100; 량의 최종 값이:100,,"자동차사고 과실비율 인정기준 │ 제2편 총설 021
차량에 가산을, 상대차량에는 반대로 감산한다. 수정요소의 값이 -인 경우 해당 차량에
감산을, 상대차량에는 반대로 가산할 수 있다. 기본 비율이 A 0% : B 100% 일때는 먼저
0 인 A 차량에게 수정요소를 적용하여 B 차량 과실비율이 100% 미만인 경우에 한하여
B차량에게 수정요소를 적용한다.
③ 수정요소를 가산한 일방 차량의 최종 값이 100%를 넘을 수 없으며 반대로 0%보다 작을
수 없다. 또한 양자의 최종 과실비율의 합계는 언제나 100%가 되어야 한다.
④ 현저한 과실과 중대한 과실이 중복될 경우는 중대한 과실의 수정요소만을 적용하는 것을
원칙으로 한다.
⑤ 현저한 과실 사이에서는 중복 적용이 가능하되, 현저한 과실 사유 내에서 여러 개가 중복되
어도 최대 20%까지만 가산하는 것을 원칙으로 한다(이러한 적용은 현저한 과실과 중대한
과실의 차이를 엄격히 구분하고 현저한 과실의 취지를 충실히 반영하기 위해서이다).
"
과실비율인정기준,23,,,2,고 과실비율 인정기준 │ 제:2; . 간선도로:20; . 일반도로:10; 는 행위:20; . 음주상태:30; 뛰어오름:60; . 버스:30; . 경운기:0; 안전모 미착용:10,,"자동차사고 과실비율 인정기준 │ 제2편 총설 022
5. 인적 손해에서의 과실상계 별도적용기준
(1) 별도적용기준의 정의
본 기준은 교통사고의 각종 유형에 우선해서 적용할 기준을 의미한다. 이는 물적피해사고와
달리 인적피해사고에서 과실을 정함에 있어 사고가 빈발하지만 해당 사고의 행위 또는 상황을
정형화된 기준으로 표현하기 적합하지 아니한 경우나, 기본 과실비율로 나타내기 어려운
경우 등에 우선 또는 별도 적용 할 기준으로 유사 판결례를 참고하여 정한 것이다.
(2) 별도적용기준 유형
분류 번호 세부유형 과실상계율(%)
보호자의 자녀(6세미만) 감호태만
어린이 등에
① 가. 간선도로 20~40
대한 보호
나. 일반도로 10~30
② 차량 밑에서 놀거나 잠자는 행위 20~40
차도에서 택시를 잡는 행위
③ 가. 음주상태 30~50
도로에서의 나. 기타 10~30
금지행위 ④ 출발 후 갑자기 뛰어내리거나 뛰어오름 60~80
달리는 차에 매달리어 가다가 추락
⑤ 가. 화물차 40~60
나"
과실비율인정기준,24,,,2,고 과실비율 인정기준 │ 제:2; 의 행위는 도로교통법 제:11; 고일 현재 만:6; 고 발생시 민법 제:755; 고 당시 만:6,,"자동차사고 과실비율 인정기준 │ 제2편 총설 023
2) 최저 및 최고 비율의 중간수치를 기본 과실비율로 하되, 기본 과실비율로써 중간수치라
함은 아래의 예와 같다.
예) 과실상계율이 10%~30%인 경우 중간수치는 20%를 적용하며, 10%~20%인 경우
10%를 적용한다.
3) 후술하는 사고유형별 과실비율 적용기준에서 설명하는 가·감산요소를 수정하여 적용하되,
가·감산 후의 최종 과실비율은 최저치 미만으로 적용할 수 없으며, 또한 최고치를 초과하여
적용할 수 없다.
4) 과실이 없는 다른 차량의 탑승 피해자에게도 이 기준을 적용한다.
5) 기타 도로사정 및 교통 사정 등을 종합적으로 감안하여 적용한다.
(4) 세부적용 예
① 보호자의 자녀감호 태만
도로에서 유아를 놀게 하거나 통행하게 하는 보호자의 행위는 도로교통법 제11조 제1항의
위반이 된다. 사고일 현재 만 6세 미만의 유아는 사고 위험의 인식이나 자기보호 능력이 불충
분한 자이므로 그 보호자는 사고 발생시 민법 제755조"
과실비율인정기준,25,,,2,고 과실비율 인정기준 │ 제:2; 도에서 택시를 잡는 행위는 도로교통법 제:8; 의 과실비율을:60,,"자동차사고 과실비율 인정기준 │ 제2편 총설 024
도로교통법 제68조(도로에서의 금지행위 등)
③ 누구든지 다음 각 호의 어느 하나에 해당하는 행위를 하여서는 아니 된다.
1. 술에 취하여 도로에서 갈팡질팡하는 행위
2. 도로에서 교통에 방해되는 방법으로 눕거나 앉거나 서있는 행위
③ 차도에서 택시를 잡는 행위
차도에서 택시를 잡는 행위는 도로교통법 제8조제1항 및 제2항을 위반하는 행위가 된다. 다만,
보·차도 구분이 없는 도로상에서 택시를 잡는 행위는 도로의 가장자리에서만 가능하다. 보행
자의 과실은 야간, 음주, 간선도로, 차도로의 진입거리가 긴 경우, 잘 보이지 않는 옷의 색 등에
해당하는 경우 가산하며, 운전자의 사고 회피 여지 등 중대한 과실이 있는 경우 감산한다.
도로교통법 제8조(보행자의 통행)
① 보행자는 보도와 차도가 구분된 도로에서는 언제나 보도로 통행하여야 한다. 다만, 차도를
횡단하는 경우, 도로공사 등으로 보도의 통행이 금지된 경우나 그 밖의 부득이한 경우"
과실비율인정기준,26,,,2,고 과실비율 인정기준 │ 제:2,,"자동차사고 과실비율 인정기준 │ 제2편 총설 025
도로교통법 제68조(도로에서의 금지행위 등)
③ 누구든지 다음 각 호의 어느 하나에 해당하는 행위를 하여서는 아니 된다.
6. 도로를 통행하고 있는 차마에 뛰어오르거나 매달리거나 차마에서 뛰어내리는 행위
⑤ 달리는 차에 매달리어 가다가 추락
차에 매달리는 행위를 운전자가 용이하게 발견할 수 있음에도 이를 게을리 한 경우 최저치를
적용하고 후사경 등으로 볼 수 없는 사각 지역에 매달린 경우에는 최고치를 적용한다.
도로교통법 제68조(도로에서의 금지행위 등)
③ 누구든지 다음 각 호의 어느 하나에 해당하는 행위를 하여서는 아니 된다.
6. 도로를 통행하고 있는 차마에 뛰어오르거나 매달리거나 차마에서 뛰어내리는 행위
⑥ 적재함 탑승행위
화물차나 경운기의 적재함은 화물의 적재 및 운송을 위한 자동차의 구조장치로서 적재함에
사람을 탑승시킨 후 운행하는 것은 사고발생 빈도나 위험의 심도를 매우 높게 하므로 과실을
적용한다. 여기서 탑승차량은 "
과실비율인정기준,27,,,2,고 과실비율 인정기준 │ 제:2; 이 조 및 제:160,2009. 7. 9. 선고 2008다91180 판결,"자동차사고 과실비율 인정기준 │ 제2편 총설 026
도로교통법 시행령 제22조(운행상의 안전기준)
법 제39조제1항 본문에서 “대통령령으로 정하는 운행상의 안전기준”이란 다음 각 호를 말한다.
1. 자동차(고속버스 운송사업용 자동차 및 화물자동차는 제외한다)의 승차인원은 승차정원의
110퍼센트 이내일 것. 다만, 고속도로에서는 승차정원을 넘어서 운행할 수 없다.
2. 고속버스 운송사업용 자동차 및 화물자동차의 승차인원은 승차정원 이내일 것
⑧ 좌석안전띠의 미착용
좌석안전띠가 설치되어 있으나 이를 착용하지 않은 채 사고가 발생하였으며, 또한 좌석안전
띠의 미착용이 사고발생 또는 손해확대와 인과관계가 있어야 과실상계 할 수 있다. 도로교통법
상 자동차의 운전자는 주행하는 도로의 성격과 무관하게 모든 좌석의 동승자에게 좌석안전띠를
매도록 하여야 할 의무가 있으며 이를 위반한 경우 가산요소로 한다. 좌석안전띠 미착용
과실은 일반도로를 포함한 모든 도로에서 적용되며 시내 및 시외 도로를 불문"
과실비율인정기준,28,,,2,고 과실비율 인정기준 │ 제:2; 의 도로교통법 제:50,,"자동차사고 과실비율 인정기준 │ 제2편 총설 027
⑨ 이륜차 탑승인의 안전모 미착용
이륜차 운전자 및 승차자의 안전모 미착용은 이륜차 운전자의 도로교통법 제50조제3항 위반
으로써 사고발생 및 손해확대와 인과관계가 있는 경우에 한하여 과실상계 할 수 있다. 또한 위
조항에 따라 이륜차의 운전자에게는 승차자가 안전모를 착용하도록 주의를 환기할 의무가 있는
바, 이를 위반한 경우 운전자의 가산요소로 한다. 이륜차 운전자의 안전모 미착용 과실은 사고
경위상 과실 비율과 합산하여 적용한다. 두개골 손상이 직접 원인이 되어 사망한 경우 등과
같이 안전모 미착용과 손해확대 사이에 밀접한 관계가 있는 사고에는 최고치를 적용한다.
도로교통법 제50조(특정 운전자의 준수사항)
③ 이륜자동차와 원동기장치자전거의 운전자는 행정안전부령으로 정하는 인명보호 장구를 착용하고
운행하여야 하며, 동승자에게도 착용하도록 하여야 한다.
⑩ 차내에 서 있다가 넘어진 사고
버스나 승합차 등이 급정거 등을 하는 경우 "
과실비율인정기준,33,,,3,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:032; “보행자우선도로”란 「보행안전 및 편의증진에 관한 법률」 제:2; 우선도로”란 「보행안전 및 편의증진에 관한 법률」 제:2; .(헌재:2016,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 032
28. “서행”(徐行)이란 운전자가 차 또는 노면전차를 즉시 정지시킬 수 있는 정도의 느린 속도
로 진행하는 것을 말한다.
30. “일시정지”란 차 또는 노면전차의 운전자가 그 차 또는 노면전차의 바퀴를 일시적으로
완전히 정지시키는 것을 말한다.
31. “보행자전용도로”란 보행자만 다닐 수 있도록 안전표지나 그와 비슷한 인공구조물로
표시한 도로를 말한다.
31의2. “보행자우선도로”란 「보행안전 및 편의증진에 관한 법률」 제2조제3호에 따른 보행자
우선도로를 말한다.
(2) 동일폭 교차로, 대로/소로 교차로
- 도로폭의 크기 여부에 따라 과실뿐 아니라 가해자 및 피해자의 구분이 달라질 수 있으므로
도로폭의 크기 여부는 매우 중요한 판단 요소이다.
- 판례에 따르면 대로와 소로 구분은 ① 엄격하게 적용되어야 하며, ② 진행한 도로를 기준
으로 하고, ③ 계측으로 구분할 것이 아니"
과실비율인정기준,34,,,3,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:033; 산) 도로교통법 제:37,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 033
(4) 교통정리가 이루어지는 교차로, 교통정리가 이루어지지 않는 교차로
- 도로교통법 제5조에 따라 신호기 등에 의해 교통정리가 이루어지는 교차로에서는 신호기의
신호가 우선한다.(한쪽 방향에만 신호기가 있는 경우도 동일하다.)
- 양 차량의 진행방향에 신호기가 둘 다 적색 점멸이거나 황색 점멸인 경우에는 교통정리가
이루어지지 않는 교차로로 판단한다.
3. 수정요소(인과관계를 감안한 과실비율 조정)의 해설
(1) 야간, 기타 시야장애, 차의 등화 및 감속
- “야간”은 일몰 후부터 일출 전까지를 말하며, ‘기타 시야장애’란 야간 개념을 제외하고 상대
차량이 보행자의 존재를 쉽게 인식할 수 없는 경우를 말한다.
- (보행자의 과실 가산) 차량의 바로 앞뒤 또는 심한 오르막이나 커브길·골목길 등에서 보행자
가 갑자기 튀어나옴으로써 운전자가 사고 이전에 보행자의 유무를 알 수 없었던 "
과실비율인정기준,35,,,3,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:034; 는 개념은 횡단보도로부터:10; 고는 보:14; 또는 왕복:6; 로에서 도로교통법 제:10,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 034
또는 차 뒤에서 도로를 횡단하는 경우에도 보행자의 과실을 가산하지 않는다. 가로등 등의
조명으로 인하여 자동차의 운전자가 전조등에 의하지 않더라도 보행자의 발견이 용이한
장소에서의 사고는 가산하지 않는다.
(2) 횡단보도 부근
- ‘횡단보도 부근’이라는 개념은 횡단보도로부터 10m 내외의 지점을 말하고, 10~30m까지
지점의 사고는 보14~보20 기준에 적용된 과실에 각 10%의 보행자 과실을 가산하며, 그
거리를 넘는 지점에서의 사고는 무단횡단의 예를 적용한다.
(3) 간선도로
- ‘간선도로’라 함은 차도폭이 20m 이상이거나 또는 왕복 6차로 이상의 도로 또는 제한시속
80km 이상인 도로로서 교통량이 많은 도로를 말한다.
- 간선도로인 경우 차량의 통행이 많고 차량이 고속주행을 하는 반면 보행자의 도로횡단 등을
도와주는 시설물이 설치된 경우가 많으므로 보행자의 과실을 가"
과실비율인정기준,38,,,0,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:037,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 037
(14) 자동차의 현저한 과실
- 도표별로 사고 상황을 가정하여 기본 과실비율을 정하였으며, 통상적으로 적용되는 과실을
고려하였다. 이 기본 과실비율에 더해 과실의 정도가 큰 과실을 현저한 과실이라 한다. 중대한
과실보다는 주의의무의 위반 정도가 낮은 과실 항목을 의미하며, 중대한 과실과 중복 적용
하지 않는다.
- 현저한 과실로는 ①한눈팔기, 졸음운전 등 전방주시의무 위반이 현저한 경우, ② 음주운전
(혈중알코올농도 0.03% 미만), ③ 10㎞/h이상 20㎞/h미만의 제한속도 위반, ④ 핸들 또는
브레이크 조작의 현저한 부적절, ⑤ 차량 유리의 암도가 높은 경우, ⑥ 운전 중 휴대전화
사용, ⑦ 운전 중 영상표시장치 시청·조작 등으로 사고 형태와 관계없이 나타날 수 있는
유형을 포함한다.
(15) 자동차의 중대한 과실
- 현저한 과실보다도 주의의무의 위반 정도가 높고 고의에"
과실비율인정기준,39,보1,1) 자동차 녹색신호 교차로 통과 후( ),70,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:038; 로 통과 후( ) [보:1; 기본 과실비율:70; 시야장애:+5; 의 현저한 과실:-10; 의 중대한 과실:-20; 량은 도로교통법 제:27; 의 기본 과실비율을:70,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 038
4. 세부유형별 과실비율 적용기준
(1) 횡단보도 내( ) (신호등 있음)
內
1) 자동차 녹색신호 교차로 통과 후( ) [보1]
後
보행자 적색신호 횡단 개시, 적색신호 충격 사고
보1
(보) 적색에 횡단 개시, 적색에 충격
(차) 녹색에 교차로 진입
보행자 기본 과실비율 70
① 야간·기타 시야장애 +5
② 간선도로 +5
과 정지·후퇴·ㄹ자 보행 +5
실 ③ 주택·상점가·학교 -5
비
집단횡단 -5
율
어린이·노인·장애인 -5
조 ④
어린이·노인·장애인보호구역 -15
정
예 차의 현저한 과실 -10
시 차의 중대한 과실 -20
보행자 급진입
비적용
⑤ 보·차도 구분 없음
※사고발생, 손해확대와의 인과관계를 감안하여 기본 과실비율을 가(+), 감(-) 조정 가능합니다.
사고 상황
⊙ 신호기가 있는 횡단보도에서 녹색신호에 교차로를 통과한 차량(직진, 좌회전, 우회전 규제를
받는"
과실비율인정기준,40,,,3,고 과실비율 인정기준 │ 제:3; 고유형별 과실비율 적용기준:039; 의 과실을:5; . 점선을 기준으로:1; 뀐 경우에도 보:1; (대법원:1990,,"제1장.
자동차와
보행자의
사고
자동차사고 과실비율 인정기준 │ 제3편 사고유형별 과실비율 적용기준 039
수정요소(인과관계를 감안한 과실비율 조정) 해설
① 야간 또는 주·정차된 차량 사이에서 보행자가 걸어 나오는 등 운전자가 보행자의 횡단을
예상하기 어려운 경우 보행자의 과실을 5%까지 가산할 수 있다.
② 간선도로인 경우 보행자의 횡단을 예견하기 어려우므로 보행자의 과실을 5%까지 가산할
수 있다.
③ 주택·상점가·학교는 보행자의 횡단이 잦은 곳이므로 보행자의 과실을 5%까지 감산할 수 있다.
④ 어린이·노인·장애인에 대한 보호를 규정한 도로교통법 제11조 내지 제12조의 2의 취지에
비추어 차량은 항상 교통약자인 어린이·노인·장애인의 동태에 대해서 보다 주의를 기울여
야 하는 바, 보행자가 어린이·노인·장애인인 경우에는 보행자의 과실을 5% 감산하고,
어린이·노인·장애인 보호구역 안에서는 차량의 주의의무가 더 높아지므로 보행자의 과실을
15%까지 감산할 수 있다. 점선을 기준"
